corpus	sent_id	left	node	right	node_sentences	usage
ind_mixed_2012_1M	888090	Manifestasinya tergantung dari saraf yang	dikenai	.	Manifestasinya tergantung dari saraf yang <m>dikenai</m>.	physical_disease_affected
ind_mixed_2012_1M	188653	Punggung tangan adalah tempat lain yang juga lazim	dikenai	.	Punggung tangan adalah tempat lain yang juga lazim <m>dikenai</m>.	physical_disease_affected
ind_mixed_2012_1M	924074	Individu yang	dikenai	nya dapat mencapai usia dewasa muda dan mengalami kehamilan.	Individu yang <m>dikenai</m>nya dapat mencapai usia dewasa muda dan mengalami kehamilan.	physical_disease_affected
ind_mixed_2012_1M	74483	Asal saja masih ada bagian tubuhnya yang nampak, maka yang nampak itu masih akan dapat	dikenai	nya, menyusup di antara lindungan perisainya.	Asal saja masih ada bagian tubuhnya yang nampak, maka yang nampak itu masih akan dapat <m>dikenai</m>nya, menyusup di antara lindungan perisainya.	physical_disease_affected
ind_mixed_2012_1M	429566	Weathering zone: zona lapik, yakni zona permukaan yang terdiri dari batuan-batuan yang telah mengalami perubahan akibat reaksi kimia dari udara, air, tumbuhan dan bakteri serta	dikenai	oleh proses mekanika seperti perubahan suhu.	Weathering zone: zona lapik, yakni zona permukaan yang terdiri dari batuan-batuan yang telah mengalami perubahan akibat reaksi kimia dari udara, air, tumbuhan dan bakteri serta <m>dikenai</m> oleh proses mekanika seperti perubahan suhu.	physical_disease_affected
ind_mixed_2012_1M	225710	Kalau sisa bakteri yang hidup ini	dikenai	penisilin dari dosis yang sama, maka hampir semua bakteri akan hidup.	Kalau sisa bakteri yang hidup ini <m>dikenai</m> penisilin dari dosis yang sama, maka hampir semua bakteri akan hidup.	physical_disease_affected
ind_mixed_2012_1M	891945	Ketiga setengah dari keturunannya akan	dikenai	sindroma ini.	Ketiga setengah dari keturunannya akan <m>dikenai</m> sindroma ini.	physical_disease_affected
ind_mixed_2012_1M	81198	Meskipun beberapa orang yang	dikenai	anak panah itu terkapar mati, namun kekuatan gerombolan Ki Sura Landak itu masih jauh lebih besar dari kekuatan pasukan pengawal tanah perdikan yang dipimpin oleh Prastawa sendiri itu.	Meskipun beberapa orang yang <m>dikenai</m> anak panah itu terkapar mati, namun kekuatan gerombolan Ki Sura Landak itu masih jauh lebih besar dari kekuatan pasukan pengawal tanah perdikan yang dipimpin oleh Prastawa sendiri itu.	physical_touch
ind_mixed_2012_1M	891333	Pencipta adalah “penuangan yang tak terkendalikan dari Kebaradaan atas arketip-arketip surgawi” seolah-oleh pecahan-pecahan kaca cermin	dikenai	cahayanya demikian rupa sehingga percampuran warnanya menjadi tampak melalui pewarnaan yang pekat-kental.	Pencipta adalah “penuangan yang tak terkendalikan dari Kebaradaan atas arketip-arketip surgawi” seolah-oleh pecahan-pecahan kaca cermin <m>dikenai</m> cahayanya demikian rupa sehingga percampuran warnanya menjadi tampak melalui pewarnaan yang pekat-kental.	physical_touch
ind_mixed_2012_1M	365455	Ia adalah prajurit yang telah	dikenai	gelang besi oleh Ki Tambak Wedi.	Ia adalah prajurit yang telah <m>dikenai</m> gelang besi oleh Ki Tambak Wedi.	physical_touch
ind_mixed_2012_1M	566359	Sebenarnya keadaan Ki Rangga yang tidak tepat	dikenai	ilmu Glagah Putih itu tidak terlalu parah keadaannya.	Sebenarnya keadaan Ki Rangga yang tidak tepat <m>dikenai</m> ilmu Glagah Putih itu tidak terlalu parah keadaannya.	physical_touch
ind_mixed_2012_1M	152033	Adrian Matthews dari Universitas East Anglia dan para koleganya, meneliti respons menit ke menit gunung berapi Montserrat setelah	dikenai	lebih dari 200 rangsangan selama tiga tahun.	Adrian Matthews dari Universitas East Anglia dan para koleganya, meneliti respons menit ke menit gunung berapi Montserrat setelah <m>dikenai</m> lebih dari 200 rangsangan selama tiga tahun.	physical_touch
