corpus	sent_id	left	node	right	node_sentences	usage
ind_mixed_2012_1M	451139	""" bahwa hanya sekitar 30% remaja lelaki"	mengenakan	cairan pelindung dari sinar matahari bila berenang, sementara 46% remaja perempuan mengenakannya?	""" bahwa hanya sekitar 30% remaja lelaki <m>mengenakan</m> cairan pelindung dari sinar matahari bila berenang, sementara 46% remaja perempuan mengenakannya?"	apply OBJ to body
ind_mixed_2012_1M	658259	Buruk laku sempat Jimmy mengutuk dan	mengenakan	Jaja apabila Jaja berlalu masuk ke dalam chaletnya kembali.	Buruk laku sempat Jimmy mengutuk dan <m>mengenakan</m> Jaja apabila Jaja berlalu masuk ke dalam chaletnya kembali.	deceive
ind_mixed_2012_1M	483859	Asyik	mengenakan	orang saja kerjanya.	Asyik <m>mengenakan</m> orang saja kerjanya.	deceive
ind_mixed_2012_1M	807305	Dari magic trick sampai la ke trick	mengenakan	orang.	Dari magic trick sampai la ke trick <m>mengenakan</m> orang.	deceive
ind_mixed_2012_1M	236239	Jika pertahanan ini lemah mudahlah bagi musuh-musuhnya	mengenakan	tipu daya yang menyebabkan apa saja yang mengenainya akan menjadi bala.	Jika pertahanan ini lemah mudahlah bagi musuh-musuhnya <m>mengenakan</m> tipu daya yang menyebabkan apa saja yang mengenainya akan menjadi bala.	deceive
ind_mixed_2012_1M	363331	Anda dapat menahan godaan jika Anda	mengenakan	seluruh perlengkapan senjata Allah (Efesus 6:10-20).	Anda dapat menahan godaan jika Anda <m>mengenakan</m> seluruh perlengkapan senjata Allah (Efesus 6:10-20).	duplicate
ind_mixed_2012_1M	346231	Mereka	mengenakan	duri tajam di kepala-Nya, mencabik-cabik punggung-Nya dengan cambuk berpaku, dipaku ke salib, dan ditusuk dengan tombak.	Mereka <m>mengenakan</m> duri tajam di kepala-Nya, mencabik-cabik punggung-Nya dengan cambuk berpaku, dipaku ke salib, dan ditusuk dengan tombak.	hit
ind_mixed_2012_1M	497796	""" tangannya"	mengenakan	jitu jalanan darah Tay yang hiat orang itu yang lantas saja roboh terguling.	""" tangannya <m>mengenakan</m> jitu jalanan darah Tay yang hiat orang itu yang lantas saja roboh terguling."	hit
ind_mixed_2012_1M	729302	Akan tetapi, karena waktu itu Coei San sudah berada di belakang Hong bong, maka jika ia menyerang lagi, toyanya akan lebih dulu	mengenakan	keponakan muridnya.	Akan tetapi, karena waktu itu Coei San sudah berada di belakang Hong bong, maka jika ia menyerang lagi, toyanya akan lebih dulu <m>mengenakan</m> keponakan muridnya.	hit
ind_mixed_2012_1M	900892	""", pukulan itu"	mengenakan	tepat di pundaknya.	""", pukulan itu <m>mengenakan</m> tepat di pundaknya."	hit
ind_mixed_2012_1M	291486	""" pukulan itu"	mengenakan	tepat dipunggung Touw Tay Kim yang tubuhnya lantas saja ber goyang-goyang.	""" pukulan itu <m>mengenakan</m> tepat dipunggung Touw Tay Kim yang tubuhnya lantas saja ber goyang-goyang."	hit
ind_mixed_2012_1M	724555	""", tinju itu"	mengenakan	tepat pada sasarannya.	""", tinju itu <m>mengenakan</m> tepat pada sasarannya."	hit
ind_mixed_2012_1M	909357	Karena lagu Kho phoa	mengenakan	jitu pada apa yang dipikirnya, sehingga ia merasa amat girang dan berterima kasih ter hadap sinona.	Karena lagu Kho phoa <m>mengenakan</m> jitu pada apa yang dipikirnya, sehingga ia merasa amat girang dan berterima kasih ter hadap sinona.	hit-metaphorical
ind_mixed_2012_1M	554790	Pengasuhan yang bebas tidak	mengenakan	batasan-batasan, misalnya tidak mengatur interval kapan bayi tidur dan makan, akan membuat bayi bingung dan takut, bayi tidak terpuaskan kebutuhan keamanan dan keselamatannya.	Pengasuhan yang bebas tidak <m>mengenakan</m> batasan-batasan, misalnya tidak mengatur interval kapan bayi tidur dan makan, akan membuat bayi bingung dan takut, bayi tidak terpuaskan kebutuhan keamanan dan keselamatannya.	impose
ind_mixed_2012_1M	234539	Carilah produk tabungan yang	mengenakan	biaya administrasi yang realistis.	Carilah produk tabungan yang <m>mengenakan</m> biaya administrasi yang realistis.	impose
ind_mixed_2012_1M	622804	Kau	mengenakan	biaya administratif kepada pemiliknya untuk menyimpannya.	Kau <m>mengenakan</m> biaya administratif kepada pemiliknya untuk menyimpannya.	impose
ind_mixed_2012_1M	467380	Khusus untuk UKM, kita tidak	mengenakan	biaya apa pun di tahun 2010, baik biaya pendaftaran ataupun transaksi.	Khusus untuk UKM, kita tidak <m>mengenakan</m> biaya apa pun di tahun 2010, baik biaya pendaftaran ataupun transaksi.	impose
ind_mixed_2012_1M	492032	Jadi pasar video gratis di internet mulai bergeser ke komersial tapi dengan tawaran video dan content yang lebih berkualitas, seperti halnya Hulu yang rencananya mulai	mengenakan	biaya berlangganan di bulan Mei.	Jadi pasar video gratis di internet mulai bergeser ke komersial tapi dengan tawaran video dan content yang lebih berkualitas, seperti halnya Hulu yang rencananya mulai <m>mengenakan</m> biaya berlangganan di bulan Mei.	impose
ind_mixed_2012_1M	655212	Firma outplacement biasanya	mengenakan	biaya charge 15 Ğ 25 persen dari gaji pegawai dan ini berarti bahwa secara umum lebih mahal daripada layanan penempatan internal (Bohl, 1987).	Firma outplacement biasanya <m>mengenakan</m> biaya charge 15 Ğ 25 persen dari gaji pegawai dan ini berarti bahwa secara umum lebih mahal daripada layanan penempatan internal (Bohl, 1987).	impose
ind_mixed_2012_1M	56667	Iklan radio mulai muncul ketika AT&T	mengenakan	biaya kepada siapa saja yang ingin pesannya disampaikan ke stasiun radio.	Iklan radio mulai muncul ketika AT&T <m>mengenakan</m> biaya kepada siapa saja yang ingin pesannya disampaikan ke stasiun radio.	impose
ind_mixed_2012_1M	331915	Namun, kalau mereka datang kesebuah tempat yang memungkinkan mereka hanya membaca tanpa perlu membelinya, dan kalau kami	mengenakan	biaya masuk pada mereka, mereka akan segera menyebarkannyaÑdan begitu pula kami.	Namun, kalau mereka datang kesebuah tempat yang memungkinkan mereka hanya membaca tanpa perlu membelinya, dan kalau kami <m>mengenakan</m> biaya masuk pada mereka, mereka akan segera menyebarkannyaÑdan begitu pula kami.	impose
ind_mixed_2012_1M	795898	Agen periklanan tersebut sangat mendukung dan memberi potong harga dengan	mengenakan	biaya minimum kepada inisiat.	Agen periklanan tersebut sangat mendukung dan memberi potong harga dengan <m>mengenakan</m> biaya minimum kepada inisiat.	impose
ind_mixed_2012_1M	727709	PT IndoInternet	mengenakan	biaya pendaftaran Rp 50.000,- dan biaya bulanan sebesar Rp 40.000,- untuk hubungan selama 15 jam/bulan.	PT IndoInternet <m>mengenakan</m> biaya pendaftaran Rp 50.000,- dan biaya bulanan sebesar Rp 40.000,- untuk hubungan selama 15 jam/bulan.	impose
ind_mixed_2012_1M	450360	AmBank	mengenakan	biaya sebesar RM 10 untuk setiap pengiriman uang ke BCA yang ada di Indonesia.	AmBank <m>mengenakan</m> biaya sebesar RM 10 untuk setiap pengiriman uang ke BCA yang ada di Indonesia.	impose
ind_mixed_2012_1M	793097	Jika kendaraan masih parkir selama tiga jam pengelola, telah	mengenakan	biaya tambahan sebesar Rp 750 per jam untuk roda dua, Rp 1500 per jam untuk roda empat dan Rp 2500 per jam untuk roda enam.	Jika kendaraan masih parkir selama tiga jam pengelola, telah <m>mengenakan</m> biaya tambahan sebesar Rp 750 per jam untuk roda dua, Rp 1500 per jam untuk roda empat dan Rp 2500 per jam untuk roda enam.	impose
ind_mixed_2012_1M	462700	Tapi kalau nantinya pengguna mencoba mengirimkan MMS maka pihak operator akan	mengenakan	biaya tertentu nantinya.	Tapi kalau nantinya pengguna mencoba mengirimkan MMS maka pihak operator akan <m>mengenakan</m> biaya tertentu nantinya.	impose
ind_mixed_2012_1M	476040	Tetapi perpustakaan boIeh	mengenakan	biaya untuk jasa lainnya, untuk menggantikan ongkos utama (prime cost) dan tidak lebih dari itu, kecuali jika ada alasan - alasan spesifik yang dapat di pertanggungjawabkan.	Tetapi perpustakaan boIeh <m>mengenakan</m> biaya untuk jasa lainnya, untuk menggantikan ongkos utama (prime cost) dan tidak lebih dari itu, kecuali jika ada alasan - alasan spesifik yang dapat di pertanggungjawabkan.	impose
ind_mixed_2012_1M	20041	Untuk jasa perantara, pialang	mengenakan	biaya yang telah disepakati, yang disebut brokerage.	Untuk jasa perantara, pialang <m>mengenakan</m> biaya yang telah disepakati, yang disebut brokerage.	impose
ind_mixed_2012_1M	766488	"Bila ia gagal melayani dengan setia - khususnya, bila ia menghalangi jalannya Injil dengan bebas dengan """	mengenakan	"biaya"" untuknya - ia sendiri mungkin akan ditolak oleh Hakim surgawi (lih. ayat 27)."	"Bila ia gagal melayani dengan setia - khususnya, bila ia menghalangi jalannya Injil dengan bebas dengan ""<m>mengenakan</m> biaya"" untuknya - ia sendiri mungkin akan ditolak oleh Hakim surgawi (lih. ayat 27)."	impose
ind_mixed_2012_1M	776604	Bila dihitung setahun, BCA	mengenakan	bunga 39%, sedangkan HSBC 48%.	Bila dihitung setahun, BCA <m>mengenakan</m> bunga 39%, sedangkan HSBC 48%.	impose
ind_mixed_2012_1M	896919	Dari simulasi pertama terungkap selain	mengenakan	bunga dalam hitungan hari untuk setiap tagihan yang tersisa, bank juga menghitung bunga dari hari bergulir hingga tagihan bulan berikutnya.	Dari simulasi pertama terungkap selain <m>mengenakan</m> bunga dalam hitungan hari untuk setiap tagihan yang tersisa, bank juga menghitung bunga dari hari bergulir hingga tagihan bulan berikutnya.	impose
ind_mixed_2012_1M	972244	Majikan hanya dapat	mengenakan	denda atas pelanggaran terhadap ketentuan dan perjanian tertulis atau reglemen, jika ketentuan itu ditunjuk secara tegas dan dendanya disebut pula dalam perjanjian atau reglemen itu.	Majikan hanya dapat <m>mengenakan</m> denda atas pelanggaran terhadap ketentuan dan perjanian tertulis atau reglemen, jika ketentuan itu ditunjuk secara tegas dan dendanya disebut pula dalam perjanjian atau reglemen itu.	impose
ind_mixed_2012_1M	734541	Uang denda, baik secara Iangsung maupun secara tidak langsung, sekali-kali tidak boleh digunakan untuk keuntungan pribadi majikan atau orang lain, yang dikuasakan olehnya untuk	mengenakan	denda kepada buruhnya.	Uang denda, baik secara Iangsung maupun secara tidak langsung, sekali-kali tidak boleh digunakan untuk keuntungan pribadi majikan atau orang lain, yang dikuasakan olehnya untuk <m>mengenakan</m> denda kepada buruhnya.	impose
ind_mixed_2012_1M	417738	Larangan merokok ini diawasi oleh para petugas yang diberikan wewenang untuk	mengenakan	denda sebesar £50 (90 dolar AS) kepada perokok dan denda sebesar £200 ($450 Dolar AS) kepada para pemilik bangunan yang dijadikan tempat merokok.	Larangan merokok ini diawasi oleh para petugas yang diberikan wewenang untuk <m>mengenakan</m> denda sebesar £50 (90 dolar AS) kepada perokok dan denda sebesar £200 ($450 Dolar AS) kepada para pemilik bangunan yang dijadikan tempat merokok.	impose
ind_mixed_2012_1M	153975	Ketika laporan itu ditelaah secara rinci, jelaslah bahwa ketika anggota komite berkata bahwa meraka Òtidak akan menghukum siapa pun,Ó apa yang mereka maksudkan adalah bahwa mereka Òtidak akan	mengenakan	keputusan keras apa pun atas Israel.	Ketika laporan itu ditelaah secara rinci, jelaslah bahwa ketika anggota komite berkata bahwa meraka Òtidak akan menghukum siapa pun,Ó apa yang mereka maksudkan adalah bahwa mereka Òtidak akan <m>mengenakan</m> keputusan keras apa pun atas Israel.	impose
ind_mixed_2012_1M	108575	Yaitu partai dengan keanggotaan terbatas atau partai yang	mengenakan	kualifikasi (persyaratan) yang ketat untuk anggotanya.	Yaitu partai dengan keanggotaan terbatas atau partai yang <m>mengenakan</m> kualifikasi (persyaratan) yang ketat untuk anggotanya.	impose
ind_mixed_2012_1M	440653	Menghindari Bahaya dan	Mengenakan	Nilai (dari Bagian A, 4) Konselor secara aktif berusaha untuk menghindari membahayakan klien atau memaksakan nilai-nilai mereka pada klien.	Menghindari Bahaya dan <m>Mengenakan</m> Nilai (dari Bagian A, 4) Konselor secara aktif berusaha untuk menghindari membahayakan klien atau memaksakan nilai-nilai mereka pada klien.	impose
ind_mixed_2012_1M	306296	"P: Dalam Yes 21:13, apakah frase ""beban atas Arab"" berarti ""Tuhan telah"	mengenakan	"pada orang Arab, kewajiban untuk menyampaikan Pesan-Nya kepada umat manusia"" sebagai klaim Muslim Ahmad Deedat?"	"P: Dalam Yes 21:13, apakah frase ""beban atas Arab"" berarti ""Tuhan telah <m>mengenakan</m> pada orang Arab, kewajiban untuk menyampaikan Pesan-Nya kepada umat manusia"" sebagai klaim Muslim Ahmad Deedat?"	impose
ind_mixed_2012_1M	350269	Ketika Agustus memerintahkan untuk	mengenakan	"pajak kepada ""semua orang di seluruh dunia"" (Lukas 2:2), Yudas memimpin suatu pemberontakan yang membawa malapetaka melawan pasukan Romawi."	"Ketika Agustus memerintahkan untuk <m>mengenakan</m> pajak kepada ""semua orang di seluruh dunia"" (Lukas 2:2), Yudas memimpin suatu pemberontakan yang membawa malapetaka melawan pasukan Romawi."	impose
ind_mixed_2012_1M	754049	Pengusaha	mengenakan	pajak kepada konsumen mereka sehingga uang itu bukan hak pengusaha, melainkan hak pemerintah.	Pengusaha <m>mengenakan</m> pajak kepada konsumen mereka sehingga uang itu bukan hak pengusaha, melainkan hak pemerintah.	impose
